Category,description
positive,the company scheduled traffic measured in revenue passenger kilometre rpk grew by just over 2 and nearly 3 more passenger were carried on scheduled flight than in february 2009 .
positive,the finnish supplier of bss-oss and va for telecom operator tecnotree ha received expansion order worth a total u $ 7.3 mn for it convergent charging and next generation messaging solution in latin america the company announced without specifying which operator had placed the order .
positive,the group 12-month operating profit grew 31 percent to 337.8 million euro .
positive,the pretax profit of the group life insurance business increased to eur 36 million from eur 27 million .
positive,"the total delivery volume of paper business in 2010 wa 1,155,000 tonne up from 1,132,000 tonne in 2009 ."
positive,this new deal ha strengthened the partnership from telemig celular and tecnomen which it ha started since the beginning of telemig prepaid operation .
positive,turnover rose to eur21m from eur17m .
positive,yit construction and the town of riihim+æki have signed a lease contract whereby the town will occupy the travel centre office facility .
neutral,"according to it notice skandinaviska enskilda banken ab publ helsinki branch ha on 10 august 2009 divested in total 11,958,000 alma medium share to ilkka-yhtyma oyj and kaleva kustannus oy a the condition of the agreement made by the company on 1 july 2009 fulfilled ."
neutral,a previously announced geosentric oyj entered into financing agreement with it lead investor on june 30 2010 enabling the company to receive financing up to the aggregate amount of 6m .
neutral,finnish talvivaara mining co hel : tlv1v said thursday it had picked bofa merrill lynch and jpmorgan nyse : jpm a joint bookrunners of it planned issue of convertible note worth up to eur250m usd332m .
positive,"lead production in turn should increase to 60,000 tonne through 2009 in what would be a twofold increase from current capacity level zahariev said ."
neutral,lemminkainen oyj said that it ha signed credit agreement with nordea bank sto : nda pohjola bank hel : poh1s sampo bank hel : samas and svenska handelsbanken sto : shb a .
neutral,pohjola could increase it stake to 45 in 2013 .
neutral,scandic feed will also diversify tosno product portfolio further .
positive,separately yit corporation and austrian firm e ag last week signed an agreement on the sale of e building system service business in germany austria poland the czech republic hungary and romania for eur 55 mln .
neutral,the agreement with jm is one in a series of contract that teliasonera ha signed in recent month with residential construction and real estate management company in sweden .
positive,the company intends to raise production capacity in 2006 .
neutral,"the mall is part of the baltic pearl development project in the city of st petersburg where baltic pearl cjsc a subsidiary of shanghai foreign joint investment company is developing home for 35,000 people ."
neutral,the new facility to be known a technopolis pulkovo will introduce to the russian market an entirely new concept of creating operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive company .
positive,to our member and partner the use of it will mostly be apparent in the increased efficiency of the result service observes perttu puro from tradeka .
neutral,vacon control a further 5 of the company via investment fund power fund i. eur 1.0 = usd 1.397
neutral,this order is included in wartsila order book in the second quarter the company added .
neutral,management decided at the end of 2005 to increase cathode copper capacity .
neutral,4 ) complete name of the shareholder : otto henrik bernhard nyberg 5 ) further information : the amount of share now transferred corresponds to 5.68 of the total number of share in aspo plc . .
neutral,a data processing unit collect the data calculates rvr value and provides the data to user via various interface .
negative,a tinyurl link take user to a scamming site promising that user can earn thousand of dollar by becoming a google ( nasdaq : goog ) cash advertiser .
neutral,alexandria va. oct. 3 markka a. oksanen and harald kaaja both of helsinki finland juha salokannel of kangasala finland and arto palin of viiala finland have developed a system for providing communication security .
neutral,a earlier reported nokian tyre is building a plant in the town of vsevolozhsk in russia leningrad region with an annual production capacity of 4 million tire .
neutral,capman the finnish alternative asset manager ha made an acquisition for it helsinki-focused vehicle real estate fund i. the fund ha bought a seven-story office built in 1973 that underwent refurbishment at the end of the 1990s .
neutral,compared with the ftse 100 index which rose 51.5 point ( or 0.9 ) on the day this wa a relative price change of -0.6 .
negative,compared with the ftse 100 index which rose 94.9 point ( or 1.6 ) on the day this wa a relative price change of -0.4 .
positive,finnish business software group affectogenimap oyj said it had signed an agreement to acquire all the share in swedish sector company intellibis ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .
neutral,finnish heat-retaining fireplace maker tulikivi oyj said on august 29 2007 that it local tiled stove and utility ceramic subsidiary kermansavi oy will merge into tulikivi by mean of absorption in order to streamline the latest corporate structure .
positive,furthermore bunge will also sign a licensing agreement for the sunnuntai and carlshamn mejeri brand .
neutral,german commerzbank ag hamburg branch and u jp morgan ( nyse : jpm ) participated a arranger and dutch ing ( am : inga ) a co-arranger .
neutral,in april 2005 neste separated from it parent company finnish energy company fortum and became listed on the helsinki stock exchange .
neutral,in russia raisio food division home market stretch all the way to vladivostok .
positive,in september 2010 the finnish group agreed to buy danish company rose poultry a-s for up to eur23 .9 m in a combination of cash and stock .
neutral,increase in the number of share is based on the option right which were granted to the management of the company under the stock option plan 2006 .
neutral,it ha some 30 office worldwide and more than 90 pct of it net sale are generated outside finland .
neutral,it has80 branch in finland with annual revenue in finland of ?
positive,kauko-telko ltd press release 19.06.2007 at 14.00 1 ( 1 ) telko group ( kauko-telko ) is expanding it strategic partnership with bp industrial lubricant & service ( bp il ) by acquiring total ownership of bp swedish retail company molub-alloy ab .
positive,"production capacity will rise gradually from 170,000 tonne to 215,000 tonne ."
positive,ramirent s danish subsidiary ramirent a-s ha today signed an agreement to acquire the business asset of the machinery rental company jydsk materiel udlejning located in west jutland .
neutral,solidium picked up tikkurila share a a dividend at a book value of eur15 .80 per share .
